publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Équations différentielles linéaires									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/equations-differentielles-lineaires-af103/	Randé	equations-differentielles-lineaires-af103		fulltext	https://doi.org/10.51257/a-v1-af103	Editions T.I.	monograph		2001				mathematiques-fondamentales-analyse-42103210		P
Équations aux différences									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/equations-aux-differences-af104/	Chen	equations-aux-differences-af104		fulltext	https://doi.org/10.51257/a-v1-af104	Editions T.I.	monograph		2007				mathematiques-fondamentales-analyse-42103210		P
Équations différentielles stochastiques									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/equations-differentielles-stochastiques-af105/	Chonavel	equations-differentielles-stochastiques-af105		fulltext	https://doi.org/10.51257/a-v1-af105	Editions T.I.	monograph		2015				mathematiques-fondamentales-analyse-42103210		P
Calcul des variations									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/calcul-des-variations-af111/	Dacorogna	calcul-des-variations-af111		fulltext	https://doi.org/10.51257/a-v1-af111	Editions T.I.	monograph		2007				mathematiques-fondamentales-analyse-42103210		P
Analyse complexe - Théorie des applications holomorphes									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/analyse-complexe-af112/	Randé	analyse-complexe-af112		fulltext	https://doi.org/10.51257/a-v1-af112	Editions T.I.	monograph		2000				mathematiques-fondamentales-analyse-42103210		P
Analyse complexe - Applications holomorphes									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/analyse-complexe-af113/	Randé	analyse-complexe-af113		fulltext	https://doi.org/10.51257/a-v1-af113	Editions T.I.	monograph		2000				mathematiques-fondamentales-analyse-42103210		P
Tenseurs en sciences des données									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/tenseurs-en-sciences-des-donnees-af114/	Comon	tenseurs-en-sciences-des-donnees-af114		fulltext	https://doi.org/10.51257/a-v1-af114	Editions T.I.	monograph		2021				mathematiques-fondamentales-analyse-42103210		P
Algèbre de Boole									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/algebre-de-boole-af118/	Vuillemin	algebre-de-boole-af118		fulltext	https://doi.org/10.51257/a-v1-af118	Editions T.I.	monograph		2010				mathematiques-fondamentales-analyse-42103210		P
Séries de Fourier									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/series-de-fourier-af141/	Queffélec	series-de-fourier-af141		fulltext	https://doi.org/10.51257/a-v1-af141	Editions T.I.	monograph		1999				mathematiques-fondamentales-analyse-42103210		P
Intégrales de Fourier									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/integrales-de-fourier-af143/	Queffélec	integrales-de-fourier-af143		fulltext	https://doi.org/10.51257/a-v1-af143	Editions T.I.	monograph		1999				mathematiques-fondamentales-analyse-42103210		P
